correct,incorrect
"Amerykańska tenisistka Venus Williams - rozstawiona z nr 4 - obroniła w sobotę w Nowym Jorku tytuł zdobyty przed rokiem, wygrywając ostatni w tym sezonie turniej wielkoszlemowy US Open (z pulą nagród 15,8 mln dol.).","Amerykańska tenisistka Venus Williams - rozstawiona z nr 4 - obronił w sobotę w Nowym Jorku tytuł zdobyty przed rokiem, wygrywając ostatni w tym sezonie turniej wielkoszlemowy US Open (z pulą nagród 15,8 mln dol.)."
"W Gdańsku Gedania w kilkadziesiąt minut rozprawiła się z bielszczankami, w pierwszym secie wręcz deklasując rywalki.","W Gdańsku Gedania w kilkadziesiąt minut rozprawił się z bielszczankami, w pierwszym secie wręcz deklasując rywalki."
Uniemożliwiła mu to bardzo ofensywna postawa Raftera.,Uniemożliwił mu to bardzo ofensywna postawa Raftera.
"Choć zawodników było niewielu (36 mężczyzn i tylko 2 dziewczyny), to i tak w dwóch wagach wśród mężczyzn sytuacja na tyle się skomplikowała, że trzeba było przyjąć, że w 2000 roku będzie dwóch zdobywców Pucharu Polski w wagach 75 i 81 kg - triumfatorzy dwóch grup, na które startujących w tych kategoriach podzielono.","Choć zawodników było niewielu (36 mężczyzn i tylko 2 dziewczyny), to i tak w dwóch wagach wśród mężczyzn sytuacja na tyle się skomplikował, że trzeba było przyjąć, że w 2000 roku będzie dwóch zdobywców Pucharu Polski w wagach 75 i 81 kg - triumfatorzy dwóch grup, na które startujących w tych kategoriach podzielono."
"Kielecka prokuratura oskarżyła 60-letniego Andrzeja S. i 42-letnią Bożenę S. o to, że w 1995 roku odgrywali rolę pośredników i organizatorów transakcji kupna noworodka przez obywatela Szwecji.","Kielecka prokuratura oskarżył 60-letniego Andrzeja S. i 42-letnią Bożenę S. o to, że w 1995 roku odgrywali rolę pośredników i organizatorów transakcji kupna noworodka przez obywatela Szwecji."
"Wrocławska część konkursu zaskoczyła: do udziału zgłosiło swoje prace ponad 8 tysięcy przedszkolaków, uczniów szkół podstawowych, gimnazjów i szkół ponadpodstawowych.","Wrocławska część konkursu zaskoczył: do udziału zgłosiło swoje prace ponad 8 tysięcy przedszkolaków, uczniów szkół podstawowych, gimnazjów i szkół ponadpodstawowych."
"Impreza rozpoczęła się blokiem rozrywkowo-muzycznym dla najmłodszych, który z werwą poprowadziła Alicja Barach, szefowa zespołu dziecięcego ""Fryga"" z Wrocławia.","Impreza rozpoczął się blokiem rozrywkowo-muzycznym dla najmłodszych, który z werwą poprowadziła Alicja Barach, szefowa zespołu dziecięcego ""Fryga"" z Wrocławia."
"Sonja Ziemann, która mimo zaostrzonego stanu alergii i kłopotów z oczami wystąpiła na Scenie Miejskiej, poprosiła wrocławian, by przed obejrzeniem filmu, przez chwilę pomyśleli o jej mężu, Marku Hłasce.","Sonja Ziemann, która mimo zaostrzonego stanu alergii i kłopotów z oczami wystąpiła na Scenie Miejskiej, poprosił wrocławian, by przed obejrzeniem filmu, przez chwilę pomyśleli o jej mężu, Marku Hłasce."
W niedzielę o godz. 2.14 rozpoczęła się astronomiczna zima.,W niedzielę o godz. 2.14 rozpoczął się astronomiczna zima.
W tym roku prawdziwa zima wyprzedziła kalendarzową.,W tym roku prawdziwa zima wyprzedził kalendarzową.
Poczta Polska przygotowała specjalny datownik.,Poczta Polska przygotował specjalny datownik.
"Jedna przyznała, że zarobiła ok. 12 tys. złotych.","Jedna przyznał, że zarobiła ok. 12 tys. złotych."
"O zaginięciu Mariana K. policję zawiadomiła jego siostra Teodora, po mężu Sz.","O zaginięciu Mariana K. policję zawiadomił jego siostra Teodora, po mężu Sz."
"Jednak grecka policja imigracyjna zabroniła Polakom powrotu do kraju, gdyż nie mogli dokonać odprawy paszportowo-celnej.","Jednak grecka policja imigracyjna zabronił Polakom powrotu do kraju, gdyż nie mogli dokonać odprawy paszportowo-celnej."
Z tego powodu piosenkarka postanowiła pozwolić komputerowo zretuszować swój wygląd.,Z tego powodu piosenkarka postanowił pozwolić komputerowo zretuszować swój wygląd.
"Podczas realizacji najnowszego teledysku gwiazda poprosiła swój zespół do spraw kreacji, żeby poprawił jej wygląd.","Podczas realizacji najnowszego teledysku gwiazda poprosił swój zespół do spraw kreacji, żeby poprawił jej wygląd."
"Kula przebiła szybę w oknie, odbiła się od ściany i upadła na łóżko, w którym spał właściciel mieszkania.","Kula przebił szybę w oknie, odbiła się od ściany i upadła na łóżko, w którym spał właściciel mieszkania."
"Aktorka zaraziła się nią od byłego męża Tommy'ego Lee, kiedy oboje kazali wytatuować sobie ciała jedną igłą.","Aktorka zaraził się nią od byłego męża Tommy'ego Lee, kiedy oboje kazali wytatuować sobie ciała jedną igłą."
Policja zatrzymała 20 osób zbyt gorliwie hołdujących dyngusowej tradycji.,Policja zatrzymał 20 osób zbyt gorliwie hołdujących dyngusowej tradycji.
"Po kilku godzinach większość wycofała się, jednak co najmniej trzy czołgi pozostają na wzgórzu wznoszącym się nad Betlejem.","Po kilku godzinach większość wycofał się, jednak co najmniej trzy czołgi pozostają na wzgórzu wznoszącym się nad Betlejem."
Lubelska Spółdzielnia Mieszkaniowa jako pierwsza w Polsce zdobyła certyfikat jakości ISO 9001.,Lubelska Spółdzielnia Mieszkaniowa jako pierwsza w Polsce zdobył certyfikat jakości ISO 9001.
"Zapłaciła ponad 1300 dolarów, na szczęście za oceanem znalazła pracę.","Zapłacił ponad 1300 dolarów, na szczęście za oceanem znalazła pracę."
"Dziewczynka trafiła do szpitala, jej życiu nie zagraża niebezpieczeństwo.","Dziewczynka trafił do szpitala, jej życiu nie zagraża niebezpieczeństwo."
"W związku z przedłużaniem przez OPZZ procedur ratyfikowania tego dokumentu, Konfederacja przedstawiła uzgodniony projekt Komisji Trójstronnej i teraz tam toczy się nad nim dyskusja.","W związku z przedłużaniem przez OPZZ procedur ratyfikowania tego dokumentu, Konfederacja przedstawił uzgodniony projekt Komisji Trójstronnej i teraz tam toczy się nad nim dyskusja."
"Wybiegła za pieskiem, który czmychnął jej z podwórka.","Wybiegł za pieskiem, który czmychnął jej z podwórka."
"Dzisiaj (poniedziałek, 23 września) o godz. 5.55 czasu środkowoeuropejskiego (a godzinę później według obecnego czasu letniego) rozpoczęła się astronomiczna jesień.","Dzisiaj (poniedziałek, 23 września) o godz. 5.55 czasu środkowoeuropejskiego (a godzinę później według obecnego czasu letniego) rozpoczął się astronomiczna jesień."
"19-letnia mieszkanka Koszalina przekonała kolegów, aby pomogli jej oszukać bank.","19-letnia mieszkanka Koszalina przekonał kolegów, aby pomogli jej oszukać bank."
"Wykorzystując sfałszowany dowód osobisty założyła konto i wyłudziła z banku 5,5 tys. zł.","Wykorzystując sfałszowany dowód osobisty założył konto i wyłudziła z banku 5,5 tys. zł."
"Dzisiaj o godz. 5.30 w Nowym Warpnie Straż Graniczna zatrzymała 12 osób: 5 Czeczenów, 5 Afgańczyków i 2 obywateli Erytrei.","Dzisiaj o godz. 5.30 w Nowym Warpnie Straż Graniczna zatrzymał 12 osób: 5 Czeczenów, 5 Afgańczyków i 2 obywateli Erytrei."
Zorganizowała ją Wspólna Organizacja Interoceanmetal (IOM) z siedzibą w Szczecinie.,Zorganizował ją Wspólna Organizacja Interoceanmetal (IOM) z siedzibą w Szczecinie.
Panującej atmosferze uległa również obsada maszynowni.,Panującej atmosferze uległ również obsada maszynowni.
"O postawieniu zarzutu poinformowała w czwartek Prokuratura Apelacyjna w Warszawie, która nadzoruje tajne śledztwo prowadzone przez Prokuraturę Okręgową w Warszawie.","O postawieniu zarzutu poinformował w czwartek Prokuratura Apelacyjna w Warszawie, która nadzoruje tajne śledztwo prowadzone przez Prokuraturę Okręgową w Warszawie."
Złotówka straciła też na wartości w stosunku do euro.,Złotówka stracił też na wartości w stosunku do euro.
"Anonimowa ankieta przeprowadzona wśród gości baru wykazała, że szczególnie wstydliwe są kobiety.","Anonimowa ankieta przeprowadzona wśród gości baru wykazał, że szczególnie wstydliwe są kobiety."
Michelle pożegnała już Kubę.,Michelle pożegnał już Kubę.
"Elektroniczna budka informacyjna rozpoczęła wczoraj działanie u zbiegu ul. Marszałkowskiej i Alej Jerozolimskich, w pobliżu rotundy PKO.","Elektroniczna budka informacyjna rozpoczął wczoraj działanie u zbiegu ul. Marszałkowskiej i Alej Jerozolimskich, w pobliżu rotundy PKO."
Policja wszczęła śledztwo w sprawie wybuchu.,Policja wszczął śledztwo w sprawie wybuchu.
"Jak wstępnie ustaliła policja w Wejherowie, dziewczynka prawdopodobnie wyszła z domu w poniedziałek koło południa w poszukiwaniu matki.","Jak wstępnie ustaliła policja w Wejherowie, dziewczynka prawdopodobnie wyszedł z domu w poniedziałek koło południa w poszukiwaniu matki."
"Nowelizacja ustawy o zaopatrzeniu emerytalnym żołnierzy zawodowych dokonała zmiany zasad rozliczania emerytur i rent za rok 2000, nakazując rozliczanie nie według osiągniętych rzeczywistych dochodów, ale według wszystkich przychodów brutto.","Nowelizacja ustawy o zaopatrzeniu emerytalnym żołnierzy zawodowych dokonał zmiany zasad rozliczania emerytur i rent za rok 2000, nakazując rozliczanie nie według osiągniętych rzeczywistych dochodów, ale według wszystkich przychodów brutto."
Rada Ministrów odtajniła raport z kontroli przeprowadzonej w GROM jesienią 1999 r.,Rada Ministrów odtajnił raport z kontroli przeprowadzonej w GROM jesienią 1999 r.
"Pierwsze szacunki silnych wiatrów, które przeszły w tym tygodniu na Podlasiu przedstawiła dyrekcja lasów państwowych w Białymstoku.","Pierwsze szacunki silnych wiatrów, które przeszły w tym tygodniu na Podlasiu przedstawił dyrekcja lasów państwowych w Białymstoku."
"Oceniła, że powalonych zostało 300 tys. drzew.","Ocenił, że powalonych zostało 300 tys. drzew."
Sprawa już trafiła do sądu.,Sprawa już trafił do sądu.
Bogusława Sztorc ze Świebodzic wróciła z pracy do domu.,Bogusława Sztorc ze Świebodzic wrócił z pracy do domu.
"Zdaniem sędziego, najpiękniejsza okazała się właśnie Polka.","Zdaniem sędziego, najpiękniejsza okazał się właśnie Polka."
"Utalentowana artystka zachwyciła wszystkich, choć znalazł się mężczyzna, który niecelnie rzucał w nią jajkami.","Utalentowana artystka zachwycił wszystkich, choć znalazł się mężczyzna, który niecelnie rzucał w nią jajkami."
Sejmowa Komisja Etyki bez rozstrzygnięcia pozostawiła wniosek prezydium Sejmu w sprawie wygwizdania przez czterech posłów unijnego komisarza ds. rolnictwa Franza Fischlera.,Sejmowa Komisja Etyki bez rozstrzygnięcia pozostawił wniosek prezydium Sejmu w sprawie wygwizdania przez czterech posłów unijnego komisarza ds. rolnictwa Franza Fischlera.
"Komisja tak podzieliła się w głosowaniu w tej sprawie, że rozstrzygnięcie było niemożliwe - dwóch członków komisji było za ukaraniem gwiżdżących posłów, dwóch przeciw i jeden wstrzymał się od głosu.","Komisja tak podzielił się w głosowaniu w tej sprawie, że rozstrzygnięcie było niemożliwe - dwóch członków komisji było za ukaraniem gwiżdżących posłów, dwóch przeciw i jeden wstrzymał się od głosu."
"Krystyna Kofta ogłosiła, że przyjmuje na siebie misję walki o równouprawnienie Bożen z Krystynami i za dwa lata zaprosiła panie do Trójmiasta, by równość tę udowodnić.","Krystyna Kofta ogłosił, że przyjmuje na siebie misję walki o równouprawnienie Bożen z Krystynami i za dwa lata zaprosiła panie do Trójmiasta, by równość tę udowodnić."
"Przy ul. Powstańców Warszawy w Sopocie policja ujęła dwóch młodych mężczyzn, którzy posługiwali się fałszywą kartą telefoniczną, niezmiennie wykazującą 100 impulsów.","Przy ul. Powstańców Warszawy w Sopocie policja ujął dwóch młodych mężczyzn, którzy posługiwali się fałszywą kartą telefoniczną, niezmiennie wykazującą 100 impulsów."
"Policja ustaliła, że w rzeczywistości była to karta o zaledwie dwudziestu pięciu impulsach.","Policja ustalił, że w rzeczywistości była to karta o zaledwie dwudziestu pięciu impulsach."
"Pięciu laureatów wybrała kapituła konkursowa z listy nominowanych firm, rekomendowanych przez organizacje Sejmiku Gospodarczego.","Pięciu laureatów wybrał kapituła konkursowa z listy nominowanych firm, rekomendowanych przez organizacje Sejmiku Gospodarczego."
"Sztormowa pogoda na Morzu Bałtyckim przerwała akcję ratowania frachtowca Iran-Sarbas, któremu zepsuł się silnik niedaleko Uusikaupunki, 240 km na zachód od Helsinek.","Sztormowa pogoda na Morzu Bałtyckim przerwał akcję ratowania frachtowca Iran-Sarbas, któremu zepsuł się silnik niedaleko Uusikaupunki, 240 km na zachód od Helsinek."
Odręcznie napisany po arabsku list zaprezentowała katarska telewizja Al-Dżazira.,Odręcznie napisany po arabsku list zaprezentował katarska telewizja Al-Dżazira.
"Nilam Thukral, żona handlarza nieruchomościami, doznała szoku, gdy w niedzielę rano zobaczyła dzikie zwierzę, siedzące na progu domu.","Nilam Thukral, żona handlarza nieruchomościami, doznał szoku, gdy w niedzielę rano zobaczyła dzikie zwierzę, siedzące na progu domu."
"Zatrzasnęła drzwi i zaalarmowała męża oraz sąsiadów, którzy wypłoszyli lamparta.","Zatrzasnął drzwi i zaalarmowała męża oraz sąsiadów, którzy wypłoszyli lamparta."
W czwartek Prokuratura Okręgowa w Warszawie skierowała do sądu wniosek o aresztowanie.,W czwartek Prokuratura Okręgowa w Warszawie skierował do sądu wniosek o aresztowanie.
"PKW przyjęła kolejne zawiadomienia o zamiarze zgłoszenia kandydatów: od SLD-UP, PiS, Polskiej Partii Narodowej, Forum Emerytów i Rencistów oraz Konfederacji Antyliberalna Platforma KPN-OP.","PKW przyjął kolejne zawiadomienia o zamiarze zgłoszenia kandydatów: od SLD-UP, PiS, Polskiej Partii Narodowej, Forum Emerytów i Rencistów oraz Konfederacji Antyliberalna Platforma KPN-OP."
Ponadto PKW przyjęła zawiadomienie od komitetu wyborczego wyborców Henryka Kierzkowskiego - niezależnego kandydata na senatora.,Ponadto PKW przyjął zawiadomienie od komitetu wyborczego wyborców Henryka Kierzkowskiego - niezależnego kandydata na senatora.
"Pierwsza z nich otrzymała wyróżnienie za pomocniczy kocioł olejowy do statków, druga za serię maszyn pakujących towar w folię.","Pierwsza z nich otrzymał wyróżnienie za pomocniczy kocioł olejowy do statków, druga za serię maszyn pakujących towar w folię."
"Powiadomiła ona okręgowy inspektorat pracy, prosząc o odpowiedź na pytanie, czy tego typu system jest zgodny z zasadami współżycia społecznego, a w szczególności z polskim prawem pracy.","Powiadomił ona okręgowy inspektorat pracy, prosząc o odpowiedź na pytanie, czy tego typu system jest zgodny z zasadami współżycia społecznego, a w szczególności z polskim prawem pracy."
"Państwowa Inspekcja Pracy przeprowadziła kontrolę, ale w protokole pokontrolnym nie znalazło się wyjaśnienie satysfakcjonujące związkowców.","Państwowa Inspekcja Pracy przeprowadził kontrolę, ale w protokole pokontrolnym nie znalazło się wyjaśnienie satysfakcjonujące związkowców."
Rada zwróciła się więc do głównego inspektora pracy.,Rada zwrócił się więc do głównego inspektora pracy.
